,n_cluster_lab_1,n_cluster_lab_2,acc,aucroc
0,1,1,0.6625,0.7814192343604108
0,1,2,0.7975,0.8628384687208217
0,1,3,0.785,0.8549019607843138
0,1,4,0.88,0.9066293183940243
0,1,5,0.8675,0.8986928104575163
0,1,6,0.855,0.8907563025210082
0,1,7,0.895,0.9161531279178338
0,2,1,0.4625,0.6544351073762839
0,2,2,0.5825,0.7306255835667601
0,2,3,0.575,0.7258636788048554
0,2,4,0.6825,0.7855275443510739
0,2,5,0.665,0.7744164332399627
0,2,6,0.7075,0.8014005602240896
0,2,7,0.74,0.8220354808590105
0,3,1,0.385,0.6095238095238096
0,3,2,0.515,0.6877684407096172
0,3,3,0.505,0.6814192343604109
0,3,4,0.6425,0.7601307189542484
0,3,5,0.5975,0.7358543417366947
0,3,6,0.6825,0.7898225957049487
0,3,7,0.7025,0.8025210084033614
