,n_cluster_lab_1,n_cluster_lab_2,acc,aucroc
0,1,1,0.7375,0.8247432306255836
0,1,2,0.8575,0.8966386554621848
0,1,3,0.8825,0.908216619981326
0,1,4,0.945,0.9350140056022408
0,1,5,0.95,0.938188608776844
0,1,6,0.945,0.9350140056022408
0,1,7,0.955,0.9370681605975723
0,2,1,0.6,0.7417366946778712
0,2,2,0.755,0.8358543417366946
0,2,3,0.82,0.8728291316526611
0,2,4,0.8925,0.9102707749766573
0,2,5,0.8975,0.9091503267973856
0,2,6,0.91,0.9213818860877684
0,2,7,0.92,0.9234360410830998
0,3,1,0.4675,0.6619047619047619
0,3,2,0.61,0.7480859010270775
0,3,3,0.67,0.7818860877684407
0,3,4,0.7975,0.8585434173669468
0,3,5,0.805,0.8633053221288516
0,3,6,0.805,0.8590102707749765
0,3,7,0.8425,0.8871148459383754
