,n_cluster_lab_1,n_cluster_lab_2,acc,aucroc
0,1,1,0.6475,0.7718954248366013
0,1,2,0.8125,0.8723622782446311
0,1,3,0.7925,0.8596638655462185
0,1,4,0.92,0.9105508870214754
0,1,5,0.915,0.9202614379084968
0,1,6,0.9225,0.9207282913165267
0,1,7,0.9225,0.9164332399626517
0,2,1,0.475,0.6666666666666667
0,2,2,0.7125,0.8174603174603174
0,2,3,0.675,0.7936507936507937
0,2,4,0.8925,0.9016806722689075
0,2,5,0.8725,0.9018674136321195
0,2,6,0.89,0.9086834733893557
0,2,7,0.8975,0.9091503267973856
0,3,1,0.39,0.6126984126984127
0,3,2,0.5625,0.7222222222222222
0,3,3,0.5525,0.7158730158730159
0,3,4,0.805,0.8676003734827263
0,3,5,0.7425,0.8322128851540617
0,3,6,0.8025,0.8703081232492997
0,3,7,0.8,0.8687208216619982
