,n_cluster_lab_1,n_cluster_lab_2,acc,aucroc
0,1,1,0.695,0.7891690009337068
0,1,2,0.71,0.7986928104575163
0,1,3,0.79,0.8366013071895424
0,1,4,0.905,0.892436974789916
0,1,5,0.8775,0.8878618113912231
0,1,6,0.845,0.8801120448179272
0,1,7,0.8925,0.8930905695611576
0,2,1,0.6425,0.7687208216619982
0,2,2,0.6575,0.7739495798319327
0,2,3,0.735,0.8188608776844072
0,2,4,0.79,0.8494864612511671
0,2,5,0.7625,0.8320261437908496
0,2,6,0.7725,0.8383753501400559
0,2,7,0.8075,0.8520074696545284
0,3,1,0.4725,0.6650793650793652
0,3,2,0.4925,0.6777777777777778
0,3,3,0.59,0.7396825396825397
0,3,4,0.635,0.7639589169000934
0,3,5,0.635,0.7639589169000934
0,3,6,0.675,0.7893557422969188
0,3,7,0.7125,0.8088702147525676
