,n_cluster_lab_1,n_cluster_lab_2,acc,aucroc
0,1,1,0.67,0.7818860877684407
0,1,2,0.815,0.8610644257703081
0,1,3,0.88,0.8894491129785247
0,1,4,0.89,0.8872082166199813
0,1,5,0.9025,0.8951447245564892
0,1,6,0.93,0.9126050420168067
0,1,7,0.91,0.8956115779645192
0,2,1,0.56,0.7206349206349206
0,2,2,0.7175,0.8163398692810456
0,2,3,0.835,0.8780578898225957
0,2,4,0.8575,0.8923436041083099
0,2,5,0.86,0.8939309056956116
0,2,6,0.8875,0.9028011204481793
0,2,7,0.885,0.9055088702147526
0,3,1,0.45,0.6507936507936508
0,3,2,0.62,0.7544351073762838
0,3,3,0.755,0.8358543417366946
0,3,4,0.7925,0.8553688141923437
0,3,5,0.8175,0.8755368814192344
0,3,6,0.835,0.8823529411764707
0,3,7,0.84,0.8855275443510738
